timestamp_utc,event,detail
2026-04-03T07:12:53.368270,ALERT_NO_FACE,duration=2.0s
2026-04-03T07:12:54.331254,ALERT_PARTIAL_FACE,"bbox_w=0.423, edge=True"
2026-04-03T07:13:02.337822,ALERT_PARTIAL_FACE,"bbox_w=0.437, edge=True"
2026-04-03T07:13:18.337768,ALERT_NO_FACE,duration=2.0s
2026-04-03T07:13:19.345108,ALERT_PARTIAL_FACE,"bbox_w=0.463, edge=True"
2026-04-03T07:13:24.344391,ALERT_LOOK_AWAY,left
2026-04-03T07:13:28.343778,ALERT_PARTIAL_FACE,"bbox_w=0.416, edge=True"
2026-04-03T07:13:32.334107,ALERT_PARTIAL_FACE,"bbox_w=0.422, edge=True"
2026-04-03T07:13:51.352267,ALERT_PARTIAL_FACE,"bbox_w=0.419, edge=True"
2026-04-03T07:14:01.352737,ALERT_PARTIAL_FACE,"bbox_w=0.431, edge=True"
2026-04-03T07:14:08.330218,ALERT_PARTIAL_FACE,"bbox_w=0.419, edge=True"
2026-04-03T07:14:19.350532,ALERT_PARTIAL_FACE,"bbox_w=0.430, edge=True"
2026-04-03T07:14:30.332828,ALERT_PARTIAL_FACE,"bbox_w=0.416, edge=True"
2026-04-03T07:14:36.334234,ALERT_PARTIAL_FACE,"bbox_w=0.424, edge=True"
2026-04-03T07:14:48.343665,ALERT_PARTIAL_FACE,"bbox_w=0.414, edge=True"
2026-04-03T07:14:57.344629,ALERT_PARTIAL_FACE,"bbox_w=0.407, edge=True"
2026-04-03T07:15:07.354336,ALERT_PARTIAL_FACE,"bbox_w=0.413, edge=True"
2026-04-03T07:15:12.369566,ALERT_PARTIAL_FACE,"bbox_w=0.414, edge=True"
2026-04-03T07:15:34.350906,ALERT_PARTIAL_FACE,"bbox_w=0.424, edge=True"
2026-04-03T07:15:42.343928,ALERT_PARTIAL_FACE,"bbox_w=0.417, edge=True"
2026-04-03T07:15:59.349172,ALERT_PARTIAL_FACE,"bbox_w=0.400, edge=True"
2026-04-03T07:16:06.358899,ALERT_PARTIAL_FACE,"bbox_w=0.421, edge=True"
2026-04-03T07:16:17.350635,ALERT_PARTIAL_FACE,"bbox_w=0.404, edge=True"
2026-04-03T07:16:27.350706,ALERT_PARTIAL_FACE,"bbox_w=0.415, edge=True"
2026-04-03T07:16:37.343822,ALERT_PARTIAL_FACE,"bbox_w=0.407, edge=True"
2026-04-03T07:16:50.341062,ALERT_PARTIAL_FACE,"bbox_w=0.418, edge=True"
2026-04-03T07:16:59.343451,ALERT_PARTIAL_FACE,"bbox_w=0.442, edge=True"
2026-04-03T07:17:14.341842,ALERT_PARTIAL_FACE,"bbox_w=0.416, edge=True"
2026-04-03T10:30:27.195408,SERVER_STARTED,Modular backend server initialized
2026-04-03T10:33:06.974465,QUESTIONS_GENERATED,"session=009c9fe3-1313-4cfe-90f8-a3a53af2ef62, count=16"
2026-04-03T10:33:10.597795,MONITORING_STARTED,session_id=009c9fe3-1313-4cfe-90f8-a3a53af2ef62
